,emkt,smb,hml,rf
199605,2.36,3.04,-1.2,0.42
199606,-1.14,-3.58,1.56,0.4
199607,-5.97,-3.83,4.45,0.45
199608,2.77,2.3,-0.46,0.41
199609,5.01,-0.88,-3.14,0.44
199610,0.86,-4.44,5.12,0.42
199611,6.25,-3.89,1.16,0.41
199612,-1.7,3.2,0.9,0.46
199701,4.98,-1.84,-1.64,0.45
199702,-0.49,-2.9,5.19,0.39
199703,-5.02,-0.38,3.81,0.43
199704,4.04,-5.66,-0.07,0.43
199705,6.74,4.89,-3.87,0.49
199706,4.1,1.32,1.23,0.37
199707,7.33,-2.8,0.84,0.43
199708,-4.15,7.31,1.38,0.41
199709,5.35,2.61,0.02,0.44
199710,-3.8,-0.68,1.96,0.42
199711,2.98,-4.94,0.78,0.39
199712,1.32,-2.35,3.46,0.48
199801,0.15,-1.15,-1.45,0.43
199802,7.04,0,-0.13,0.39
199803,4.76,-0.94,1.06,0.39
199804,0.73,0.21,0.74,0.43
199805,-3.07,-3.75,4.16,0.4
199806,3.18,-3.16,-2.32,0.41
199807,-2.46,-5.12,-0.97,0.4
199808,-16.08,-5.3,3.41,0.43
199809,6.15,-0.12,-3.31,0.46
199810,7.13,-3.32,-2.2,0.32
199811,6.1,1.07,-3.14,0.31
199812,6.16,-0.33,-4.46,0.38
199901,3.5,0.39,-4.03,0.35
199902,-4.08,-5.68,1.4,0.35
199903,3.45,-3.94,-2.64,0.43
199904,4.33,3.99,2.51,0.37
199905,-2.46,3.42,2.4,0.34
199906,4.77,3.06,-3.59,0.4
199907,-3.49,2.67,-0.76,0.38
199908,-1.38,-1.28,-1.31,0.39
199909,-2.79,3.32,-3.4,0.39
199910,6.12,-6.94,-2.88,0.39
199911,3.37,7.37,-6.51,0.36
199912,7.72,7.11,-8.74,0.44
200001,-4.74,4.96,-0.29,0.41
200002,2.45,21.71,-9.93,0.43
200003,5.2,-16.87,7.37,0.47
200004,-6.4,-7.73,8.61,0.46
200005,-4.42,-5.1,2.56,0.5
200006,4.64,13.86,-9.86,0.4
200007,-2.51,-2.79,8.14,0.48
200008,7.03,-1.13,-0.68,0.5
200009,-5.45,-1.39,6.24,0.51
200010,-2.76,-3.76,5.52,0.56
200011,-10.72,-2.79,11.3,0.51
200012,1.19,0.97,7.33,0.5
200101,3.13,6.57,-4.9,0.54
200102,-10.05,-0.74,12.9,0.38
200103,-7.26,0.34,6.45,0.42
200104,7.94,0.52,-4.69,0.39
200105,0.72,2.6,3.14,0.32
200106,-1.94,6.05,-1.06,0.28
200107,-2.13,-4.35,5.58,0.3
200108,-6.46,2.49,2.5,0.31
200109,-9.25,-6.13,1.6,0.28
200110,2.46,7.63,-8.1,0.22
200111,7.54,-0.41,2,0.17
200112,1.61,4.57,1.1,0.15
200201,-1.44,1.19,3.33,0.14
200202,-2.29,-1.1,2.5,0.13
200203,4.24,4.23,1.11,0.13
